# Root UV coordinates (u, v)
655: (2.571428571428571, 41.49782646811559)
656: (0.375, 36.72317817535873)
657: (0.75, 36.72317817535873)
658: (0.4285714285714284, 41.49782646811559)
659: (-4.440892098500626e-16, 41.49782646811559)
660: (0.0, 36.72317817535873)
661: (0.375, 36.72317817535873)
662: (-4.440892098500626e-16, 41.49782646811559)
663: (0.8571428571428571, 41.49782646811559)
664: (1.2857142857142856, 41.49782646811559)
665: (1.0, 46.272474760872456)
666: (0.5, 46.272474760872456)
667: (1.2857142857142856, 41.49782646811559)
668: (1.7142857142857142, 41.49782646811559)
669: (1.5, 46.272474760872456)
670: (1.0, 46.272474760872456)
671: (1.7142857142857142, 41.49782646811559)
672: (2.1428571428571423, 41.49782646811559)
673: (2.0, 46.272474760872456)
674: (1.5, 46.272474760872456)
675: (2.1428571428571423, 41.49782646811559)
676: (2.571428571428571, 41.49782646811559)
677: (2.5, 46.272474760872456)
678: (2.0, 46.272474760872456)
679: (2.571428571428571, 41.49782646811559)
680: (3.0, 41.49782646811559)
681: (3.0, 46.272474760872456)
682: (2.5, 46.272474760872456)
683: (0.42857142857142794, 41.49782646811559)
684: (0.8571428571428568, 41.49782646811559)
685: (0.5, 46.272474760872456)
686: (0.0, 46.272474760872456)
687: (-4.440892098500626e-16, 41.49782646811559)
688: (0.4285714285714284, 41.49782646811559)
689: (0.0, 46.272474760872456)
690: (0.75, 0.9330127018922193)
691: (1.0, 0.5)
692: (0.5, 0.5)
693: (0.2500000000000001, 0.9330127018922194)
694: (0.75, 0.9330127018922193)
695: (0.5, 0.5)
696: (0.0, 0.5000000000000001)
697: (0.2500000000000001, 0.9330127018922194)
698: (0.5, 0.5)
699: (0.24999999999999978, 0.06698729810778076)
700: (0.0, 0.5000000000000001)
701: (0.5, 0.5)
702: (0.75, 0.0669872981077807)
703: (0.24999999999999978, 0.06698729810778076)
704: (0.5, 0.5)
705: (1.0, 0.5)
706: (0.75, 0.0669872981077807)
707: (0.5, 0.5)
708: (0.5, 0.5)
709: (0.5, 0.5)
710: (0.5, 0.5)
711: (0.5, 0.5)
712: (0.5, 0.5)
713: (0.5, 0.5)
714: (0.5, 0.5)
